Subject,GenExec,ProcSpeed
100004,#NULL!,-0.82168
100206,0.39702,1.34749
100307,0.60515,0.55671
100408,-0.53034,0.32696
100610,1.68222,0.98153
101006,-1.95482,-1.32435
101107,-1.10209,-0.15502
101208,#NULL!,-1.67524
101309,-0.50559,-0.91166
101410,0.44956,-0.03942
101612,#NULL!,0.42692
101915,0.06549,-1.23562
102008,0.57193,0.87709
102109,0.34523,-0.87428
102311,-1.48928,-1.26531
102513,0.254,-2.78015
102614,0.70453,1.64558
102715,1.70792,-0.04815
102816,0.08081,-0.58778
103010,#NULL!,-1.94456
103111,1.28312,-0.91794
103212,-0.08314,-1.49224
103414,0.4358,-0.9764
103515,-2.67553,-1.16289
103818,-0.347,-0.72877
104012,-1.19353,-0.97745
104113,#NULL!,-0.03715
104416,1.29802,1.237
104820,-1.25339,0.31741
105014,0.63994,-1.96406
105115,0.81867,-0.49717
105216,1.4576,1.80352
105620,1.70739,1.46699
105923,0.56904,-0.91674
106016,1.22749,0.35564
106218,#NULL!,-1.08467
106319,1.20652,0.00153
106521,1.15304,1.08729
106824,0.95838,0.06322
107018,-0.16311,-1.05972
107119,#NULL!,-1.6262
107220,0.1438,-1.32537
107321,1.45621,0.82346
107422,1.17116,0.78689
107523,#NULL!,-2.52278
107725,-2.05055,0.36456
108020,1.471,0.45099
108121,-0.09469,0.45646
108222,1.39792,0.38023
108323,-1.38369,0.65437
108525,-1.20688,-2.4288
108828,-1.09197,-0.60482
109123,1.46512,0.95543
109325,-0.88025,1.05505
109830,#NULL!,-1.66349
110007,-0.01937,0.02453
110411,0.71035,1.3193
110613,-0.00239,-1.76676
111009,0.89349,0.15276
111211,0.80794,-0.19211
111312,0.02274,0.646
111413,-0.08006,1.27511
111514,1.15566,0.97037
111716,0.79922,-0.75598
112112,0.80302,-0.72948
112314,0.00117,0.28568
112516,-1.67396,-0.19191
112819,#NULL!,-1.35399
112920,0.18635,-0.46857
113215,0.63461,1.39921
113316,0.07985,-1.54572
113417,#NULL!,0.37089
113619,-0.01469,-0.31919
113821,#NULL!,-1.7866
113922,0.14374,0.69449
114116,1.13372,-1.0371
114217,1.14877,0.82254
114318,-0.29439,0.52373
114419,-1.27235,-0.28071
114621,-0.08965,-0.13605
114823,1.15333,0.80176
114924,-2.16379,0.13062
115017,0.26115,-0.92451
115219,-1.18098,1.04412
115320,-0.82179,-0.22385
115724,-2.00036,1.63681
115825,-2.10542,-1.54477
116120,#NULL!,-0.70383
116221,0.84566,-0.17294
116322,#NULL!,-1.8366
116423,#NULL!,0.5002
116524,-2.8255,-0.55469
116726,0.30918,0.91507
117021,1.10222,0.35823
117122,0.80234,0.64397
117324,-1.4487,-0.96902
117728,#NULL!,0.02098
117930,-0.32417,-1.46603
118023,0.76983,0.13929
118124,-0.68956,0.09059
118225,1.21304,-0.47706
118528,-0.43258,0.78959
118730,-0.60522,-0.42651
118831,-0.19664,0.96588
118932,0.18667,0.19211
119025,0.94481,-1.16181
119126,-0.03774,-0.1708
119732,-0.75396,-1.95905
119833,-1.83625,0.13095
120010,#NULL!,1.32223
120111,-0.58947,-0.1757
120212,0.90233,0.2134
120414,-0.64898,-2.27021
120515,-0.79322,-1.21222
120717,0.38939,1.26324
120818,#NULL!,0.56196
121315,#NULL!,-2.88573
121416,-0.56785,-2.17464
121618,-1.81335,0.07333
121719,#NULL!,0.42233
121820,#NULL!,0.6864
121921,0.08722,-0.33713
122317,0.31287,-1.02355
122418,1.20396,1.35968
122519,#NULL!,-0.80373
122620,-0.27221,-0.31655
122822,-0.53792,-0.14131
123117,-1.09386,0.65544
123420,0.35366,0.54834
123521,-1.61268,-0.71247
123723,-1.10786,-0.3339
123824,-2.30711,-1.46123
123925,0.44714,1.63162
124220,0.01993,0.44437
124321,#NULL!,-1.07201
124422,-0.60061,0.07823
124624,0.30268,0.93039
124826,-0.37202,1.05214
125222,0.7936,-1.4442
125424,-0.35843,-1.51782
125525,-2.27705,-0.42911
126325,0.25994,0.74584
126426,-1.44013,0.30763
