Subject,maxSpace,meanSpace,sumSpace,maxAngle,meanAngle,sumAngle,maxFDpre,meanFDpre,stdFDpre,maxFDpost,meanFDpost,stdFDpost,SupraThresholdFD,nTR,SupraThresholdPct
100206,0.2022,0.0493,236.2183,0.1911,0.0274,131.2845,0.4893,0.1088,0.0565,0.4893,0.1088,0.0565,0.0000,4800.0000,0.0000
100307,0.2230,0.0530,254.2136,0.1645,0.0367,175.9921,0.3580,0.1251,0.0596,0.3580,0.1251,0.0596,0.0000,4800.0000,0.0000
100408,0.3533,0.0886,424.8149,0.5166,0.0381,182.9077,1.1148,0.1833,0.0945,0.4978,0.1809,0.0884,28.0000,4800.0000,0.0058
100610,0.4458,0.0938,449.9270,0.2282,0.0342,164.1871,0.7289,0.1799,0.0855,0.4741,0.1788,0.0828,12.0000,4800.0000,0.0025
101006,0.5434,0.0769,368.6529,0.7023,0.0369,176.9712,1.9905,0.1550,0.0835,0.4987,0.1534,0.0749,13.0000,4800.0000,0.0027
101107,11.2463,0.0794,380.9714,8.0197,0.0626,300.0813,22.8913,0.2021,0.7008,0.4999,0.1263,0.0815,254.0000,4800.0000,0.0529
101309,0.4069,0.0501,240.0506,0.2544,0.0311,148.9701,0.7743,0.1180,0.0573,0.4906,0.1177,0.0556,3.0000,4800.0000,0.0006
101915,0.4533,0.0730,350.2168,0.3644,0.0482,231.3539,1.0155,0.1711,0.0938,0.4968,0.1665,0.0808,49.0000,4800.0000,0.0102
102008,0.9678,0.1332,638.9060,0.3976,0.0432,207.3871,1.6057,0.2536,0.1655,0.4987,0.2225,0.1073,354.0000,4800.0000,0.0737
102109,0.2505,0.0384,184.1065,0.1537,0.0316,151.7471,0.5345,0.0994,0.0557,0.4409,0.0992,0.0550,2.0000,4800.0000,0.0004
102311,0.8027,0.0857,410.9973,0.8614,0.0485,232.5968,1.5211,0.1895,0.1114,0.4994,0.1830,0.0962,76.0000,4800.0000,0.0158
102513,0.2747,0.0493,236.6345,0.1552,0.0286,136.9482,0.6183,0.1064,0.0519,0.4301,0.1062,0.0510,2.0000,4800.0000,0.0004
102614,0.1411,0.0398,190.7362,0.1025,0.0253,121.3492,0.2804,0.0908,0.0436,0.2804,0.0908,0.0436,0.0000,4800.0000,0.0000
102715,0.2093,0.0568,272.2576,0.1825,0.0329,157.6486,0.4676,0.1312,0.0685,0.4676,0.1312,0.0685,0.0000,4800.0000,0.0000
102816,1.7129,0.1047,501.9129,3.6129,0.0642,307.9523,6.8423,0.2350,0.2772,0.4998,0.1868,0.0896,272.0000,4800.0000,0.0567
103010,0.2875,0.0676,324.2505,0.2491,0.0407,194.9972,0.5594,0.1500,0.0796,0.4710,0.1495,0.0785,6.0000,4800.0000,0.0013
103111,1.1324,0.0916,439.3861,0.3341,0.0314,150.8070,2.0628,0.1650,0.0761,0.4835,0.1642,0.0659,3.0000,4800.0000,0.0006
103212,0.5888,0.0769,368.5799,0.5799,0.0391,187.2865,1.6478,0.1679,0.1158,0.4976,0.1577,0.0840,95.0000,4800.0000,0.0198
103414,0.2248,0.0591,283.4821,0.1693,0.0408,195.8809,0.4812,0.1432,0.0709,0.4812,0.1432,0.0709,0.0000,4800.0000,0.0000
103515,1.3420,0.1246,597.3608,4.0173,0.0511,244.8473,7.4553,0.2502,0.2262,0.4992,0.2266,0.1067,211.0000,4800.0000,0.0440
103818,0.3734,0.0842,403.7713,0.5084,0.0400,191.9220,0.9785,0.1696,0.0852,0.4911,0.1678,0.0791,16.0000,4800.0000,0.0033
104012,0.2296,0.0593,284.3751,0.2123,0.0445,213.4974,0.6422,0.1519,0.0671,0.4890,0.1517,0.0664,2.0000,4800.0000,0.0004
104416,0.2683,0.0419,200.7349,0.2561,0.0372,178.3472,0.6545,0.1151,0.0662,0.4727,0.1149,0.0651,3.0000,4800.0000,0.0006
104820,0.6801,0.1528,732.7835,0.9327,0.0540,258.8410,1.7312,0.2931,0.1959,0.4998,0.2362,0.1135,702.0000,4800.0000,0.1462
105014,0.3194,0.0573,274.6703,1.1250,0.0428,205.3513,2.0385,0.1427,0.0860,0.4923,0.1401,0.0714,22.0000,4800.0000,0.0046
105115,0.4759,0.0531,254.5085,0.2812,0.0341,163.3964,0.8723,0.1251,0.0690,0.4961,0.1242,0.0653,8.0000,4800.0000,0.0017
105216,0.5197,0.0516,247.5364,0.7160,0.0288,138.1549,1.7280,0.1116,0.0741,0.4952,0.1081,0.0509,23.0000,4800.0000,0.0048
105620,0.5304,0.0360,172.6138,0.1895,0.0310,148.6782,1.0304,0.0968,0.0471,0.4192,0.0965,0.0448,2.0000,4800.0000,0.0004
105923,0.4294,0.0573,274.7437,0.5158,0.0431,206.9419,1.2961,0.1420,0.0864,0.4997,0.1400,0.0796,19.0000,4800.0000,0.0040
106016,0.3714,0.0786,376.8059,0.2058,0.0347,166.5409,0.5821,0.1612,0.0897,0.4994,0.1603,0.0879,12.0000,4800.0000,0.0025
106319,0.4675,0.0868,416.3886,0.7491,0.0399,191.2553,1.4885,0.1795,0.1092,0.4983,0.1763,0.1016,35.0000,4800.0000,0.0073
106521,0.8144,0.0596,285.8648,0.4027,0.0321,153.9624,1.4529,0.1325,0.0692,0.4846,0.1316,0.0638,7.0000,4800.0000,0.0015
106824,0.6437,0.0419,200.7897,0.5889,0.0319,152.7751,1.4140,0.1054,0.0732,0.4949,0.1037,0.0630,12.0000,4800.0000,0.0025
107018,0.2463,0.0769,368.8903,0.1837,0.0436,208.8822,0.5306,0.1713,0.0791,0.4766,0.1711,0.0788,2.0000,4800.0000,0.0004
107321,0.5408,0.0503,241.1425,0.1638,0.0246,118.0926,0.8399,0.1004,0.0592,0.4019,0.1000,0.0575,3.0000,4800.0000,0.0006
107422,0.4564,0.0477,228.8483,0.2299,0.0382,183.3552,1.0218,0.1232,0.0664,0.4988,0.1221,0.0614,10.0000,4800.0000,0.0021
107725,0.7733,0.1312,629.2447,1.1311,0.0511,245.1644,2.1435,0.2375,0.1610,0.5000,0.2140,0.1065,219.0000,4800.0000,0.0456
108020,1.1109,0.0656,314.4394,1.1026,0.0370,177.4580,3.2226,0.1489,0.1059,0.4982,0.1424,0.0775,58.0000,4800.0000,0.0121
108121,0.4671,0.1414,678.2030,0.2779,0.0456,218.8932,0.9373,0.2472,0.1293,0.5000,0.2356,0.1164,175.0000,4800.0000,0.0365
108222,0.9520,0.0615,294.8623,0.6717,0.0360,172.4989,1.9425,0.1385,0.1002,0.4963,0.1322,0.0761,52.0000,4800.0000,0.0108
108323,0.5059,0.0470,225.3176,1.3780,0.0345,165.6833,2.3683,0.1195,0.0920,0.4763,0.1137,0.0595,39.0000,4800.0000,0.0081
108525,1.2135,0.0678,325.3423,0.7920,0.0282,135.1533,2.1875,0.1404,0.1054,0.4960,0.1360,0.0748,23.0000,4800.0000,0.0048
108828,0.5187,0.1125,539.5278,0.3028,0.0339,162.6817,0.8597,0.2169,0.1347,0.4988,0.2028,0.1097,169.0000,4800.0000,0.0352
109123,0.7766,0.1192,571.6738,0.5678,0.0436,209.0454,1.5520,0.2416,0.1547,0.4999,0.2135,0.1062,316.0000,4800.0000,0.0658
109325,0.4190,0.1106,530.6585,0.5060,0.0391,187.6982,1.1234,0.2008,0.0945,0.4969,0.1985,0.0889,28.0000,4800.0000,0.0058
109830,0.5814,0.0597,286.1842,0.6217,0.0446,214.0133,1.3511,0.1501,0.0834,0.4996,0.1458,0.0674,42.0000,4800.0000,0.0088
110007,0.3846,0.0953,457.0201,0.2715,0.0359,171.9444,0.7843,0.1827,0.0882,0.4943,0.1820,0.0865,9.0000,4800.0000,0.0019
110411,1.1297,0.0445,213.4679,0.4884,0.0345,165.2261,2.0196,0.1124,0.1102,0.4991,0.1033,0.0670,62.0000,4800.0000,0.0129
110613,1.1890,0.0735,352.4023,1.2658,0.0424,203.2811,2.7397,0.1679,0.1361,0.4952,0.1581,0.0754,52.0000,4800.0000,0.0108
